Date,Price,Open,High,Low,Vol.,Change %
10/20/2021,239.72,240.4,242.65,239.28,3.04M,-1.26%
10/19/2021,242.77,243.22,243.93,241.53,2.07M,0.21%
10/18/2021,242.26,242.42,243.45,241.13,2.48M,0.00%
10/15/2021,242.25,245.24,246.38,241.99,2.56M,-0.94%
10/14/2021,244.55,242.88,245.42,242.04,2.51M,0.78%
10/13/2021,242.65,243.27,243.87,239.9,3.21M,-0.76%
10/12/2021,244.52,247.73,248.6,244.18,2.35M,-0.84%
10/11/2021,246.58,248.1,249.14,246.45,1.50M,-0.45%
10/08/2021,247.7,249.25,249.63,247.11,1.69M,-0.25%
10/07/2021,248.32,248,249.95,247.68,2.42M,0.49%
10/06/2021,247.1,244.56,247.16,243.02,2.11M,0.77%
10/05/2021,245.22,243.97,246.88,243.01,2.46M,0.88%
10/04/2021,243.08,242.06,244.81,241.86,2.24M,0.06%
10/01/2021,242.93,243.07,244.69,240.25,2.08M,0.75%
09/30/2021,241.11,244.77,245.42,240.82,3.14M,-1.30%
09/29/2021,244.28,244.38,245.71,243.15,1.72M,0.21%
09/28/2021,243.77,247.29,247.71,242.91,3.01M,-1.75%
09/27/2021,248.11,246,248.9,245.28,2.46M,0.69%
09/24/2021,246.42,246.64,247.38,245.24,2.51M,0.67%
09/23/2021,244.78,243.74,245.95,243.53,2.94M,0.68%
09/22/2021,243.13,241.8,245.86,241.47,3.36M,1.09%
09/21/2021,240.5,240,242.35,239.4,2.01M,0.59%
09/20/2021,239.09,239.88,241.96,236.64,4.55M,-1.40%
09/17/2021,242.49,243.84,244.63,241.88,4.76M,-0.30%
09/16/2021,243.21,240.29,243.59,239.95,3.41M,0.93%
09/15/2021,240.98,240.47,241.27,238.18,2.51M,-0.06%
09/14/2021,241.13,241.73,242.25,239.5,2.01M,-0.03%
09/13/2021,241.21,240.83,241.8,239.84,2.29M,0.85%
09/10/2021,239.18,240.32,241.32,239.04,2.04M,0.24%
09/09/2021,238.61,238.42,241.43,237.77,2.99M,0.00%
09/08/2021,238.62,236.8,239.46,236,2.72M,1.03%
09/07/2021,236.19,238.61,238.61,235.95,1.82M,-1.10%
