Date,Price,Open,High,Low,Vol.,Change %
05/08/2024,180.35,175.95,181.66,175.95,4.96M,2.06%
05/07/2024,176.71,177.22,178.35,176.13,5.10M,-0.92%
05/06/2024,178.35,180.88,183.98,174.71,11.91M,-0.80%
05/03/2024,179.79,179.59,180.49,177.9,5.42M,0.53%
05/02/2024,178.85,173,178.9,172.25,10.22M,4.31%
05/01/2024,171.46,167.5,173.86,167.5,6.21M,2.16%
04/30/2024,167.84,171.49,174.07,167.76,8.25M,-3.26%
04/29/2024,173.49,167.9,173.81,167.55,7.81M,3.75%
04/26/2024,167.22,165.98,168.65,164.93,7.21M,0.25%
04/25/2024,166.81,163.59,168.13,159.7,12.50M,1.51%
04/24/2024,164.33,176.5,177.64,162.74,20.89M,-2.87%
04/23/2024,169.18,170.95,171.18,168.43,7.63M,-0.76%
04/22/2024,170.48,169.82,172.15,168.16,4.72M,0.39%
04/19/2024,169.82,170,172,169.65,4.69M,-0.24%
04/18/2024,170.23,169.48,172.04,169.1,5.12M,0.01%
04/17/2024,170.21,170,170.85,168.12,8.16M,-0.20%
04/16/2024,170.55,168.14,170.64,167.75,7.99M,1.63%
04/15/2024,167.82,170.74,171.18,167.53,6.49M,-1.02%
04/12/2024,169.55,172.2,173.24,169.37,7.57M,-2.20%
04/11/2024,173.36,174.47,174.7,171.38,7.63M,-0.73%
04/10/2024,174.63,176.31,178.1,172.44,9.73M,-1.96%
04/09/2024,178.12,181.51,183.05,176.57,11.44M,-1.89%
04/08/2024,181.56,182.14,184.55,181.49,6.18M,-0.86%
04/05/2024,183.14,184.16,184.66,182.44,4.13M,-0.08%
04/04/2024,183.29,185.93,188,182.81,6.51M,-0.88%
04/03/2024,184.92,187.68,188.78,184.27,6.61M,-1.66%
04/02/2024,188.04,189,189.23,187.13,4.48M,-0.77%
04/01/2024,189.5,192.24,192.87,189.03,5.11M,-1.81%
03/28/2024,192.99,192,193.38,191.2,4.47M,0.54%
03/27/2024,191.95,188.84,191.99,188.33,7.37M,2.37%
03/26/2024,187.5,192.02,192.03,186.81,8.97M,-2.04%
03/25/2024,191.41,196.01,196.18,189.5,12.95M,1.36%
03/22/2024,188.85,188.75,192.94,188.19,7.83M,0.61%
03/21/2024,187.7,189.79,190.38,187.55,7.44M,-0.04%
03/20/2024,187.78,178.99,188.3,178.6,12.77M,3.67%
03/19/2024,181.14,180.11,181.86,179.74,7.65M,0.72%
03/18/2024,179.84,180.26,181.19,177.52,9.50M,-1.47%
03/15/2024,182.53,180.99,184.18,180.91,10.80M,0.76%
03/14/2024,181.15,182,184.94,180.52,10.02M,-0.66%
03/13/2024,182.35,183.16,185.97,182.08,10.20M,-1.03%
03/12/2024,184.24,188.24,188.58,183.16,18.71M,-4.29%
03/11/2024,192.49,194.21,196.07,189.8,14.16M,-3.02%
03/08/2024,198.49,201.84,203.8,198.46,9.01M,-2.24%
03/07/2024,203.03,200.7,203.73,200.57,5.97M,1.01%
03/06/2024,201,201.77,202.35,199.86,4.74M,-0.07%
03/05/2024,201.14,199.49,202.85,198.7,5.03M,0.30%
03/04/2024,200.54,199.5,201.54,196.92,7.21M,0.27%
03/01/2024,200,204,205.06,199.01,11.61M,-1.83%
02/29/2024,203.72,206.44,206.62,202.7,6.67M,-1.58%
02/28/2024,207,201.14,208.1,200.18,9.65M,2.78%
02/27/2024,201.4,200.93,202,200.04,3.93M,0.43%
02/26/2024,200.54,201.01,202.75,200,4.81M,-0.14%
02/23/2024,200.83,200.99,202.07,197.15,7.43M,-0.33%
02/22/2024,201.5,202,204.1,200.4,6.51M,-0.03%
02/21/2024,201.57,202.9,203.63,201.21,4.18M,-0.89%
02/20/2024,203.37,203.55,205.58,202.71,5.25M,-0.26%
02/16/2024,203.89,204.88,205.05,202.81,5.99M,-0.70%
02/15/2024,205.33,204.12,206.55,203.4,5.31M,0.96%
02/14/2024,203.38,205.95,206.58,202.21,6.50M,-0.53%
02/13/2024,204.46,206.9,207.81,202.33,8.26M,-2.33%
02/12/2024,209.33,208.7,209.8,207.6,4.08M,0.06%
02/09/2024,209.2,209.77,211.44,207.9,4.35M,-0.01%
02/08/2024,209.22,212.4,213.1,208.72,5.79M,-1.27%
02/07/2024,211.92,208.76,213.77,207.99,7.75M,1.60%
02/06/2024,208.58,206.02,210.64,203.89,7.56M,0.94%
02/05/2024,206.63,204.64,207.34,202,8.68M,-1.31%
02/02/2024,209.38,209.06,209.54,206.35,6.28M,-0.20%
02/01/2024,209.81,213.84,214.63,206.81,10.68M,-0.58%
01/31/2024,211.04,204.92,213.77,203.25,22.41M,5.29%
01/30/2024,200.44,203.65,203.98,199.14,13.32M,-2.31%
01/29/2024,205.19,206.06,207.04,203.85,7.54M,-0.14%
01/26/2024,205.47,203.08,206.75,203,9.91M,1.78%
01/25/2024,201.88,208.2,208.73,198.32,22.11M,-5.72%
01/24/2024,214.13,209.83,217.59,209.35,15.12M,1.24%
01/23/2024,211.5,215.35,216.85,211.13,9.08M,-1.60%
01/22/2024,214.93,213.07,217,212.36,10.76M,-0.04%
01/19/2024,215.02,210.89,215.16,209.23,14.35M,1.61%
01/18/2024,211.61,205.64,213.04,203.32,20.05M,4.21%
01/17/2024,203.06,202.63,206.3,201.65,20.14M,1.27%
